"year","region","type","value"
"2008","United States","Market",89.040641
"2008","United States","Government",15.012602
"2008","United States","COVID relief",0
"2009","United States","Market",75.672736
"2009","United States","Government",14.81705
"2009","United States","COVID relief",0
"2010","United States","Market",100.920085
"2010","United States","Government",14.904747
"2010","United States","COVID relief",0
"2011","United States","Market",132.847395
"2011","United States","Government",12.277936
"2011","United States","COVID relief",0
"2012","United States","Market",144.036588
"2012","United States","Government",12.294224
"2012","United States","COVID relief",0
"2013","United States","Market",142.080078
"2013","United States","Government",12.498774
"2013","United States","COVID relief",0
"2014","United States","Market",135.55505
"2014","United States","Government",10.893202
"2014","United States","COVID relief",0
"2015","United States","Market",106.034323
"2015","United States","Government",11.936285
"2015","United States","COVID relief",0
"2016","United States","Market",90.29481
"2016","United States","Government",14.190557
"2016","United States","COVID relief",0
"2017","United States","Market",96.279169
"2017","United States","Government",12.371646
"2017","United States","COVID relief",0
"2018","United States","Market",93.41762
"2018","United States","Government",14.322998
"2018","United States","COVID relief",0
"2019","United States","Market",89.06318
"2019","United States","Government",23.103335
"2019","United States","COVID relief",0
"2020","United States","Market",91.635714
"2020","United States","Government",22.32124
"2020","United States","COVID relief",24.8
"2021","United States","Market",103.05145
"2021","United States","Government",12.294082
"2021","United States","COVID relief",13
